ISO,Country/Territory,GDPPerCapita,GDP,EcologicalFootprint,GHGIntensity,EnergyIntensity,WaterIntensity,ClimateCosts,InfraQuality,ForeignPop,EduAttainment,EaseBusiness,ICTDevelopment,KOFIndex,RegulatoryQuality,ClimateResilience,GlobalAdaptation,GovtEffectiveness
QAT,Qatar,128374,744,15.65398181,552.1217804,-398.9911867,,0.0006,5.211749554,,41.01255035,83,7.21,73.48832703,0.418252975,,53.02438657,0.742896199
REU,R?union,,,5.433471441,,,,,,3.447846158,,,,,1.207126617,,,1.111428976
ROM,Romania,,,2.798524692,,,,0.3362,,0.748268991,,52,6.48,79.36300659,0.488174856,25.8,,-0.173382983
RUS,Russian Federation,25533,56,5.568220041,1268.359754,-83.67054072,1.414656772,0.0561,3.982001543,7.836330289,,31,7.07,72.29156494,-0.475341648,36.4,58.88722809,-0.077605151
RWA,Rwanda,2039,31,0.775231504,914.427132,,,0.0277,4.683115482,3.520653771,8.458080292,29,2.18,51.27553177,0.146277755,,42.60433248,0.260874271
WSM,Samoa,6627,990,2.386064846,444.5530087,,,1.0032,,,,90,3.3,52.17324829,-0.079647265,,46.49880528,0.616453826
SMR,San Marino,63414,336,,,,,,,,,88,,57.08839035,,,0,
STP,S?o Tom? and Principe,3351,74,1.785786411,772.6757363,,,,,1.475335545,,170,3.09,42.03825378,-0.833209515,,42.36760546,-0.767590463
SAU,Saudi Arabia,53779,882,6.002629332,,-191.5238831,,0.0188,4.920776367,,,92,6.67,65.46376038,-0.000854754,27.7,54.28599399,0.247511506
SEN,Senegal,3450,804,1.111991705,3038.148129,52.69248699,,0.0622,2.920382738,,,141,2.66,61.50786591,-0.147465929,,39.85717027,-0.319773078
SRB,Serbia,15429,776,2.918717046,,28.78146807,49.36362555,0.401,3.502137661,11.44182259,71.40995026,48,6.61,78.33515167,0.009044431,,51.35089091,0.191546947
SYC,Seychelles,29265,460,,858.7616588,,,0.0725,4.673913002,9.672802887,,96,5.03,62.19289017,-0.176731795,,48.41674491,0.415070593
SLE,Sierra Leone,1527,216,1.226873206,3106.493166,,,0.0036,2.634381294,,,163,,44.46389389,-0.9200207,,37.78217594,-1.205864072
SGP,Singapore,93905,492,5.85738805,192.3437238,97.68200129,,0.001,6.415508747,22.79561505,70.69322968,2,8.05,83.37584686,2.115007162,,69.30494746,2.20536828
SVK,Slovak Republic,31616,317,4.195545513,495.3809297,58.82671105,4.438888889,0.1047,4.240309238,2.773892929,87.15688324,42,7.06,82.89263916,0.823824525,51.9,58.11110264,0.807419121
SVN,Slovenia,34868,310,4.675454359,454.4126167,44.49892058,6.191751473,0.2421,4.592378616,11.51868704,81.86884308,40,7.38,81.27744293,0.578153908,30.7,65.46533429,1.170743942
SLB,Solomon Islands,2422,661,,4315.28621,,,0.6798,,,,115,2.11,44.21902084,-0.797954023,,38.09965738,-1.005797744
SOM,Somalia,,,1.2088653,3429.784542,,,,,,,190,,0,-2.29080677,,20.26734479,-2.213490009
ZAF,South Africa,13498,328,3.415378922,,-14.48355329,34.59821429,0.09,4.050662518,2.087777865,64.62435913,82,4.96,69.8908844,0.233144641,60.9,50.25287332,0.278473139
SSD,South Sudan,,,1.542089326,,-1058.120023,2.530769231,0.0527,,,,185,,,-1.944518328,,,-2.478397369
ESP,Spain,37998,566,3.805943048,260.5236189,69.35978962,33.04856115,0.0605,5.513834,12.09495874,48.6490593,30,7.79,85.3042984,0.942841172,39.3,62.63351976,1.034050941
LKA,Sri Lanka,12835,193,1.531969411,445.0785061,50.26849245,,0.2026,3.884459734,0.188939391,61.67863846,100,3.91,58.91719055,-0.13164562,,46.28042328,-0.151102081
KNA,St. Kitts and Nevis,28576,99,,,,51.25,,,,,140,7.24,51.52269363,0.554304838,,53.63260815,0.560836196
LCA,St. Lucia,13956,915,,416.6777436,,,,,5.036399735,,93,4.63,58.31752777,0.307759255,,53.129928,0.265684724
VCT,St. Vincent and the Grenadines,11744,306,,460.6321576,,7.9,,,4.318936877,,130,5.54,54.01027679,0.245785251,,55.80727176,0.265684724
SDN,Sudan,4904,877,1.21832635,10051.12091,-8.993080229,673.25,0.0553,,,,162,2.55,41.24446487,-1.560386419,,30.42111026,-1.4149369
